date,listeners,streams,followers
2022-04-04,4911,6857,242
2022-04-05,5206,7393,242
2022-04-06,5395,7686,242
2022-04-07,5409,7734,242
2022-04-08,5585,8076,244
2022-04-09,5369,7589,244
2022-04-10,4533,6283,244
2022-04-11,5219,7400,245
2022-04-12,5557,7836,245
2022-04-13,5916,8459,245
2022-04-14,6014,8544,245
2022-04-15,5867,8470,246
2022-04-16,5658,8125,246
2022-04-17,4825,6660,246
2022-04-18,5579,7617,247
2022-04-19,5297,7899,247
2022-04-20,5401,7876,248
2022-04-21,5695,8074,248
2022-04-22,6050,8952,249
2022-04-23,5782,8420,250
2022-04-24,4881,6864,250
2022-04-25,5099,7609,250
2022-04-26,5166,7536,250
2022-04-27,5388,7814,250
2022-04-28,5486,7918,249
2022-04-29,6264,9545,250
2022-04-30,6328,9284,250
2022-05-01,5472,7701,250
2022-05-02,6186,8982,250
2022-05-03,6549,9670,250
2022-05-04,6730,10095,250
2022-05-05,6870,10377,251
2022-05-06,7236,11033,251
2022-05-07,6712,9874,251
2022-05-08,5880,8492,252
2022-05-09,6026,8982,253
2022-05-10,6075,9167,253
2022-05-11,6489,9700,254
2022-05-12,6514,9903,256
2022-05-13,6592,9965,256
2022-05-14,6798,10037,257
2022-05-15,5845,8343,259
2022-05-16,6128,9063,259
2022-05-17,6641,9935,259
2022-05-18,6520,9707,260
2022-05-19,6310,9703,260
2022-05-20,6643,10115,260
2022-05-21,6645,9818,260
2022-05-22,5737,8239,261
2022-05-23,5866,8517,262
2022-05-24,6192,9361,262
2022-05-25,6567,9865,263
2022-05-26,6582,9845,263
2022-05-27,6708,10108,264
2022-05-28,6597,9484,264
2022-05-29,5291,7656,264
2022-05-30,5933,8875,264
2022-05-31,6278,9225,266
2022-06-01,6791,9879,266
2022-06-02,6843,9936,266
2022-06-03,6858,10063,265
2022-06-04,7066,10178,265
2022-06-05,6103,8640,265
2022-06-06,6310,9006,265
2022-06-07,6645,9759,267
2022-06-08,7022,10080,267
2022-06-09,6586,9563,267
2022-06-10,7114,10459,269
2022-06-11,7455,10439,269
2022-06-12,6682,9312,270
2022-06-13,6690,9674,270
2022-06-14,7358,10650,270
2022-06-15,7407,10722,270
2022-06-16,7396,10657,270
2022-06-17,7597,11520,271
2022-06-18,8071,11503,271
2022-06-19,7089,9637,273
2022-06-20,6701,9431,274
2022-06-21,7027,9928,274
2022-06-22,7238,10298,275
2022-06-23,7331,10379,275
2022-06-24,11021,16746,275
2022-06-25,12714,18913,275
2022-06-26,11807,17230,277
2022-06-27,10925,16597,294
2022-06-28,10999,17383,306
2022-06-29,11825,17802,311
2022-06-30,11763,16466,317
2022-07-01,11737,16821,319
2022-07-02,12767,17459,323
2022-07-03,11576,15301,324
2022-07-04,10770,15261,325
2022-07-05,11514,16007,327
2022-07-06,11743,16491,327
2022-07-07,12324,17083,328
2022-07-08,12549,17553,329
2022-07-09,12955,17546,330
2022-07-10,11516,15423,331
2022-07-11,11056,15116,292
2022-07-12,11540,16487,293
2022-07-13,12000,16728,289
2022-07-14,12380,17183,290
2022-07-15,12840,17970,288
2022-07-16,13631,18400,289
2022-07-17,11968,15900,289
2022-07-18,11249,15575,289
2022-07-19,11754,16094,291
2022-07-20,12044,16547,292
2022-07-21,12321,16800,291
2022-07-22,13262,18447,291
2022-07-23,13899,18403,292
2022-07-24,12561,16537,294
2022-07-25,11767,16022,294
2022-07-26,12274,16575,294
2022-07-27,12422,17442,295
2022-07-28,12832,17564,295
2022-07-29,13505,18848,295
2022-07-30,14522,19331,295
2022-07-31,12965,16985,295
2022-08-01,12462,16971,295
2022-08-02,13134,17698,296
2022-08-03,13235,17876,296
2022-08-04,13357,18044,296
2022-08-05,13328,18624,297
2022-08-06,14024,18652,296
2022-08-07,12077,16006,296
2022-08-08,12290,16657,296
2022-08-09,12572,16807,296
2022-08-10,12642,17268,299
2022-08-11,12874,17288,300
2022-08-12,12820,17750,301
2022-08-13,13354,17655,301
2022-08-14,12576,16282,301
2022-08-15,13566,17554,301
