Playlist,Playlist Chartmetric ID,Playlist URL,Spotify Playlist ID,Spotify User ID,Spotify Playlist URL,Curator,Curator Chartmetric ID,Curator URL,Track Name,Album,Track URL,Date Added,Days in List,Date Removed,Position,Peak Position,Total Tracks,Country,Followers,28-day Change,28-day Change Percent
Trap Américano 🇺🇲,16225615,/playlist/spotify/16225615/about,2uEKh2R4Gw8CDtPvzU9Sge,22cun2vs25vffdu6j7cz3k4hy,https://open.spotify.com/user/22cun2vs25vffdu6j7cz3k4hy/playlist/2uEKh2R4Gw8CDtPvzU9Sge,Andrea Tolosa Molinares,24526812,/curator/spotify/24526812/about,Fake Friends,Fake Friends,https://app.chartmetric.com/track/80519107/about,"Sep 5, 2023",31 Days in List,"Oct 6, 2023",13,13,400,null,33777,4301,13%
Rap Italiano 🇮🇹,2348077,/playlist/spotify/2348077/about,44IU4j4hQ8fB5cCEmSig1E,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/44IU4j4hQ8fB5cCEmSig1E,AMP Records,8542147,/curator/spotify/8542147/about,Fake Friends,Fake Friends,https://app.chartmetric.com/track/80519107/about,"Apr 29, 2022",174 Days in List,"Oct 20, 2022",20,16,60,null,35639,768,2%
Rap Italiano 🇮🇹,2348077,/playlist/spotify/2348077/about,44IU4j4hQ8fB5cCEmSig1E,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/44IU4j4hQ8fB5cCEmSig1E,AMP Records,8542147,/curator/spotify/8542147/about,GLK,GLK,https://app.chartmetric.com/track/69398921/about,"Jan 14, 2022",503 Days in List,"Jun 1, 2023",40,4,60,null,35639,768,2%
Rap Italiano 🇮🇹,2348077,/playlist/spotify/2348077/about,44IU4j4hQ8fB5cCEmSig1E,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/44IU4j4hQ8fB5cCEmSig1E,AMP Records,8542147,/curator/spotify/8542147/about,Bruciature,Bruciature,https://app.chartmetric.com/track/67528994/about,"Nov 26, 2021",98 Days in List,"Mar 4, 2022",58,12,60,null,35639,768,2%
Rap Italiano 🇮🇹,2348077,/playlist/spotify/2348077/about,44IU4j4hQ8fB5cCEmSig1E,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/44IU4j4hQ8fB5cCEmSig1E,AMP Records,8542147,/curator/spotify/8542147/about,Sarai Mai,Sarai Mai,https://app.chartmetric.com/track/24326968/about,"Jun 8, 2021",508 Days in List,"Oct 29, 2022",50,4,60,null,35639,768,2%
Rap Italiano 🇮🇹,2348077,/playlist/spotify/2348077/about,44IU4j4hQ8fB5cCEmSig1E,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/44IU4j4hQ8fB5cCEmSig1E,AMP Records,8542147,/curator/spotify/8542147/about,William Kassouf,Per quanto fiato ho perso,https://app.chartmetric.com/track/22814815/about,"Jun 16, 2021",155 Days in List,"Nov 18, 2021",36,25,60,null,35639,768,2%
Rap Italiano 🇮🇹,2348077,/playlist/spotify/2348077/about,44IU4j4hQ8fB5cCEmSig1E,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/44IU4j4hQ8fB5cCEmSig1E,AMP Records,8542147,/curator/spotify/8542147/about,X la Vita,C'era una volta la west,https://app.chartmetric.com/track/34750010/about,"Apr 23, 2021",107 Days in List,"Aug 8, 2021",24,10,60,null,35639,768,2%
Rap Italiano 🇮🇹,2348077,/playlist/spotify/2348077/about,44IU4j4hQ8fB5cCEmSig1E,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/44IU4j4hQ8fB5cCEmSig1E,AMP Records,8542147,/curator/spotify/8542147/about,Seum,Seum,https://app.chartmetric.com/track/34169041/about,"Apr 9, 2021",60 Days in List,"Jun 8, 2021",5,5,60,null,35639,768,2%
Rap Italiano 🇮🇹,2348077,/playlist/spotify/2348077/about,44IU4j4hQ8fB5cCEmSig1E,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/44IU4j4hQ8fB5cCEmSig1E,AMP Records,8542147,/curator/spotify/8542147/about,Mai Più,Mai Più,https://app.chartmetric.com/track/68478510/about,"Dec 17, 2021",90 Days in List,"Mar 17, 2022",28,4,60,null,35639,768,2%
Rap Italiano 🇮🇹,2348077,/playlist/spotify/2348077/about,44IU4j4hQ8fB5cCEmSig1E,ujqpgmanktzo5zx9wvc99g791,https://open.spotify.com/user/ujqpgmanktzo5zx9wvc99g791/playlist/44IU4j4hQ8fB5cCEmSig1E,AMP Records,8542147,/curator/spotify/8542147/about,Con Te,Con Te,https://app.chartmetric.com/track/73639790/about,"Feb 20, 2022",97 Days in List,"May 28, 2022",42,18,60,null,35639,768,2%
